型号,h,B,t1,t2,r,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Iy_cm4,ix_cm,iy_cm,Wx_cm3,Wy_cm3,重心Cx_cm,对应H型钢系列,基准规格△
T250×200,250,200,10,16,13,56.12,44.1,0.889,3200,1070,7.54,4.36,169,107,6.03,,
T250×200,253,201,11,19,13,64.65,50.8,0.897,3660,1290,7.52,4.46,189,128,6.00,,
T250×300,241,300,11,15,13,70.58,55.4,1.07,3400,3380,6.93,6.91,178,225,5.00,H500×300,
T250×300,244,300,11,18,13,79.58,62.5,1.08,3610,4050,6.73,7.13,184,270,4.72,,
T275×200,273,199,9,14,13,51.89,40.7,0.933,3690,921,8.43,4.21,180,92.6,6.85,H550×200,
T275×200,275,200,10,16,13,58.62,46.0,0.939,4180,1070,8.44,4.27,203,107,6.89,,
T275×300,272,300,11,15,13,73.99,58.1,1.13,4790,3380,8.04,6.75,225,225,5.96,H550×300,
T275×300,275,300,11,18,13,82.99,65.2,1.14,5090,4050,7.82,6.98,232,270,5.59,,
T300×200,298,199,10,15,13,58.87,46.2,0.983,5150,988,9.35,4.09,235,99.3,7.92,H600×200,
T300×200,300,200,11,17,13,65.85,51.7,0.989,5770,1140,9.35,4.15,262,114,7.95,,
T300×200,303,201,12,20,13,74.88,58.8,0.997,6530,1360,9.33,4.25,291,135,7.88,,
T300×300,291,300,12,17,13,84.60,66.4,1.17,6320,3830,8.64,6.72,280,255,6.51,H600×300,
T300×300,294,300,12,20,13,93.60,73.5,1.18,6680,4500,8.44,6.93,288,300,6.17,,
T300×300,297,302,14,23,13,108.5,85.2,1.19,7890,5290,8.52,6.97,339,350,6.41,,
T312.5×200,312.5,198.5,13.5,17.5,13,75.28,59.1,1.01,7460,1150,9.95,3.90,338,116,9.15,H625×200,
T312.5×200,315,200,15,20,13,84.97,66.7,1.02,8470,1340,9.98,3.97,380,134,9.21,,
T312.5×200,319,202,17,24,13,99.35,78.0,1.03,9960,1160,10.0,4.08,440,165,9.26,,
T325×300,323,299,12,18,18,91.81,72.1,1.23,8570,4020,9.66,6.61,344,269,7.36,H650×300,
T325×300,325,300,13,20,18,101.0,79.3,1.23,9430,4510,9.66,6.67,376,300,7.40,,
T325×300,327,301,14,22,18,110.3,86.59,1.24,10300,5010,9.66,6.73,408,333,7.45,,
T350×300,346,300,13,20,18,103.8,81.5,1.28,11300,4510,10.4,6.59,424,301,8.09,H700×300,
T350×300,350,300,13,24,18,115.8,90.9,1.28,12000,5410,10.2,6.83,438,361,7.63,,
T400×300,396,300,14,22,18,119.8,94.0,1.38,17600,4960,12.1,6.43,592,331,9.78,H800×300,
T400×300,400,300,14,26,18,131.8,103,1.38,18700,5860,11.9,6.66,610,391,9.27,,
T450×300,445,299,15,23,18,133.5,105,1.47,25900,5140,13.9,6.20,789,344,11.7,H900×300,
T450×300,450,300,16,28,18,152.9,120,1.48,29100,6320,13.8,6.42,865,421,11.4,,
T450×300,456,302,18,34,18,180.0,141,1.50,34100,7830,13.8,6.59,997,518,11.3,,
